,Nt,(mm),time
164,249.54160,4.10750,16.46300
165,250.22060,4.13500,16.56300
166,249.88110,4.15750,16.66300
167,249.88110,4.18250,16.76400
168,250.56010,4.20750,16.86500
169,250.89960,4.23500,16.96500
170,251.57870,4.25750,17.06500
171,251.57870,4.28500,17.16500
172,251.23920,4.31000,17.26600
173,252.25770,4.33500,17.36700
174,251.91820,4.36000,17.46700
175,252.25770,4.38500,17.56800
176,252.59720,4.41000,17.66700
177,253.27620,4.43500,17.76800
178,252.93670,4.46000,17.86800
179,253.27620,4.48500,17.96900
180,253.27620,4.51000,18.06900
181,253.95530,4.53500,18.16900
182,253.95530,4.56000,18.27000
183,254.29480,4.58500,18.37000
184,253.95530,4.61000,18.47100
185,254.29480,4.63500,18.57100
186,254.97380,4.66000,18.67100
187,254.63430,4.68500,18.77200
188,255.31330,4.71000,18.87200
189,255.31330,4.73500,18.97200
190,255.65280,4.76000,19.07300
191,255.65280,4.78500,19.17300
192,255.99230,4.81000,19.27400
193,255.99230,4.83500,19.37400
194,256.33180,4.86000,19.47400
195,257.01090,4.88500,19.57500
196,256.67140,4.91000,19.67500
197,257.01090,4.93500,19.77600
198,257.35040,4.96000,19.87600
199,257.01090,4.98500,19.97600
200,257.68990,5.01000,20.07600
201,257.68990,5.03750,20.17700
202,258.02940,5.06250,20.27800
203,257.35040,5.08750,20.37800
204,258.02940,5.11250,20.47800
205,258.02940,5.13750,20.57800
206,258.02940,5.16000,20.67900
207,258.02940,5.18500,20.78000
208,258.70840,5.21000,20.88000
209,258.36890,5.23750,20.98000
210,258.36890,5.26250,21.08000
211,258.70840,5.28750,21.18100
212,258.70840,5.31250,21.28200
213,258.70840,5.33750,21.38100
214,258.70840,5.36250,21.48200
215,258.70840,5.38750,21.58200
216,258.70840,5.41250,21.68300
217,259.38750,5.43750,21.78400
218,259.38750,5.46250,21.88300
219,260.06650,5.48750,21.98400
220,259.72700,5.51250,22.08400
221,260.06650,5.53750,22.18500
222,260.40600,5.56250,22.28500
223,260.06650,5.58750,22.38500
224,260.40600,5.61250,22.48600
225,260.74550,5.63750,22.58600
226,260.74550,5.66250,22.68700
227,260.40600,5.68750,22.78600
228,260.40600,5.71250,22.88700
229,260.40600,5.73750,22.98800
230,260.06650,5.76250,23.08800
231,260.74550,5.78750,23.18900
232,260.74550,5.81250,23.28800
233,261.08500,5.83750,23.38900
234,260.40600,5.86250,23.49000
235,260.74550,5.88750,23.59000
236,260.40600,5.91250,23.69100
237,260.74550,5.93750,23.79100
238,260.40600,5.96250,23.89100
239,260.74550,5.98750,23.99200
240,260.74550,6.01250,24.09200
241,260.40600,6.03750,24.19300
242,260.06650,6.06250,24.29200
243,260.40600,6.08750,24.39300
244,260.40600,6.11250,24.49300
245,260.74550,6.13750,24.59400
246,260.74550,6.16250,24.69500
247,260.40600,6.18750,24.79400
248,260.40600,6.21250,24.89500
249,260.40600,6.23750,24.99500
250,260.06650,6.26250,25.09600
251,259.72700,6.28750,25.19600
252,260.40600,6.31250,25.29600
253,260.40600,6.33750,25.39700
254,258.70840,6.36250,25.49700
255,260.06650,6.38750,25.59800
256,259.38750,6.41250,25.69800
257,259.72700,6.43750,25.79800
258,258.70840,6.46250,25.89900
259,258.36890,6.48750,25.99900
260,258.36890,6.51250,26.10000
261,258.02940,6.53750,26.20000
262,258.02940,6.56250,26.30000
263,258.02940,6.58750,26.40100
264,258.02940,6.61250,26.50100
265,257.01090,6.63750,26.60200
266,257.01090,6.66250,26.70100
267,256.67140,6.68750,26.80200
268,255.99230,6.71250,26.90300
269,255.31330,6.73750,27.00300
270,254.97380,6.76250,27.10300
271,254.97380,6.78750,27.20300
272,253.95530,6.81250,27.30400
273,253.61570,6.83750,27.40500
274,252.93670,6.86250,27.50500
275,251.91820,6.88750,27.60500
276,251.57870,6.91250,27.70500
277,251.23920,6.93750,27.80600
278,249.88110,6.96250,27.90700
279,248.86260,6.98750,28.00700
280,247.84400,7.01250,28.10800
281,246.82550,7.03750,28.20700
282,246.14650,7.06250,28.30800
283,245.12790,7.08750,28.40900
284,243.43040,7.11250,28.50900
285,241.73280,7.13750,28.60900
286,241.05380,7.16250,28.70900
287,239.01670,7.18750,28.81000
288,236.97960,7.21250,28.91000
289,236.64010,7.23750,29.01100
290,234.26350,7.26250,29.11100
